Id,Week,Completion time,Email,Name,Rate the following 1-5 (with 1 being the least and 5 being the most).How would you rate your day so far?,Rate the following 1-5 (with 1 being the least and 5 being the most).What is your experience with coding?,Rate the following 1-5 (with 1 being the least and 5 being the most).How would you rate your python experience?
1,Week 1,10/16/2024 18:08,anonymous,,1,1,1
2,Week 1,10/16/2024 18:08,anonymous,,3,2,2
3,Week 1,10/16/2024 18:09,anonymous,,1,4,3
4,Week 1,10/16/2024 18:09,anonymous,,1,3,2
5,Week 1,10/16/2024 18:09,anonymous,,3,4,3
6,Week 1,10/16/2024 18:09,anonymous,,3,2,1
7,Week 1,10/16/2024 18:09,anonymous,,3,4,1
8,Week 1,10/16/2024 18:09,anonymous,,2,3,4
9,Week 1,10/16/2024 18:09,anonymous,,4,4,4
10,Week 1,10/16/2024 18:09,anonymous,,5,5,2
11,Week 1,10/16/2024 18:09,anonymous,,2,4,3
12,Week 1,10/16/2024 18:09,anonymous,,3,1,1
13,Week 1,10/16/2024 18:09,anonymous,,5,5,4
14,Week 1,10/16/2024 18:09,anonymous,,3,4,1
15,Week 1,10/16/2024 18:09,anonymous,,3,3,1
16,Week 1,10/16/2024 18:09,anonymous,,4,3,2
17,Week 1,10/16/2024 18:09,anonymous,,1,3,2
18,Week 1,10/16/2024 18:09,anonymous,,4,1,1
19,Week 1,10/16/2024 18:09,anonymous,,1,3,3
20,Week 1,10/16/2024 18:09,anonymous,,3,4,2
21,Week 1,10/16/2024 18:09,anonymous,,4,3,3
22,Week 1,10/16/2024 18:09,anonymous,,3,2,1
23,Week 1,10/16/2024 18:09,anonymous,,5,4,2
24,Week 1,10/16/2024 18:09,anonymous,,3,4,2
25,Week 1,10/16/2024 18:09,anonymous,,1,3,3
26,Week 1,10/16/2024 18:09,anonymous,,3,3,4
27,Week 1,10/16/2024 18:09,anonymous,,2,3,1
28,Week 1,10/16/2024 18:09,anonymous,,4,1,1
29,Week 1,10/16/2024 18:09,anonymous,,4,4,5
30,Week 1,10/16/2024 18:09,anonymous,,3,4,3
31,Week 1,10/16/2024 18:09,anonymous,,3,3,4
32,Week 1,10/16/2024 18:09,anonymous,,3,3,2
33,Week 1,10/16/2024 18:09,anonymous,,3,5,4
34,Week 1,10/16/2024 18:09,anonymous,,2,4,2
35,Week 1,10/16/2024 18:09,anonymous,,4,3,3
36,Week 1,10/16/2024 18:09,anonymous,,5,4,2
37,Week 1,10/16/2024 18:09,anonymous,,2,3,3
38,Week 1,10/16/2024 18:09,anonymous,,5,2,2
39,Week 1,10/16/2024 18:09,anonymous,,3,2,2
40,Week 1,10/16/2024 18:09,anonymous,,2,3,3
41,Week 1,10/16/2024 18:09,anonymous,,1,1,1
42,Week 1,10/16/2024 18:09,anonymous,,4,2,1
43,Week 1,10/16/2024 18:09,anonymous,,4,2,1
44,Week 1,10/16/2024 18:09,anonymous,,3,3,2
45,Week 1,10/16/2024 18:09,anonymous,,3,1,1
46,Week 1,10/16/2024 18:09,anonymous,,4,3,3
47,Week 1,10/16/2024 18:09,anonymous,,4,3,3
48,Week 1,10/16/2024 18:09,anonymous,,4,3,3
49,Week 1,10/16/2024 18:09,anonymous,,3,4,2
50,Week 1,10/16/2024 18:09,anonymous,,4,2,3
51,Week 1,10/16/2024 18:09,anonymous,,5,2,2
52,Week 1,10/16/2024 18:09,anonymous,,5,4,2
53,Week 1,10/16/2024 18:09,anonymous,,3,3,1
54,Week 1,10/16/2024 18:09,anonymous,,4,3,1
55,Week 1,10/16/2024 18:09,anonymous,,1,1,1
56,Week 1,10/16/2024 18:09,anonymous,,4,3,3
57,Week 1,10/16/2024 18:09,anonymous,,3,3,2
58,Week 1,10/16/2024 18:09,anonymous,,3,4,3
59,Week 1,10/16/2024 18:09,anonymous,,3,2,1
60,Week 1,10/16/2024 18:09,anonymous,,4,2,1
61,Week 1,10/16/2024 18:09,anonymous,,1,4,3
62,Week 1,10/16/2024 18:09,anonymous,,3,5,5
63,Week 1,10/16/2024 18:09,anonymous,,3,3,2
64,Week 1,10/16/2024 18:09,anonymous,,3,3,4
65,Week 1,10/16/2024 18:09,anonymous,,3,1,1
66,Week 1,10/16/2024 18:09,anonymous,,4,1,4
67,Week 1,10/16/2024 18:09,anonymous,,4,3,3
68,Week 1,10/16/2024 18:09,anonymous,,3,4,2
69,Week 1,10/16/2024 18:09,anonymous,,4,3,3
70,Week 1,10/16/2024 18:09,anonymous,,3,1,1
71,Week 1,10/16/2024 18:09,anonymous,,3,3,3
72,Week 1,10/16/2024 18:09,anonymous,,3,3,3
73,Week 1,10/16/2024 18:09,anonymous,,3,2,2
74,Week 1,10/16/2024 18:09,anonymous,,2,4,4
